35.73;14
35.39;14.8
36.21;15.6
34.06;20
34.69;30
34.42;30
35.39;34
34;34
34.06;34
33.59;42
34;42
33.49;46
33.16;64
33.1;64
31.96;166
25.11;8980
25.05;10060
23.03;34460
22.23;62800
21.72;88000
22.25;101200
21.07;111200
27.31;1680
27.31;1820
26.3;3260
25.7;5260
30.13;842
30.13;892
29.44;1880
29.44;2000
28.54;2340
28.54;2400
27.91;3420
27.91;3480
28.22;3760
28.22;3800
27.62;4080
27.62;4220
27.49;4440
27.21;4460
27.21;4540
27.49;4600
35.08;80
32.64;84
32.76;94
35.2;112
30.34;446
30.2;642
29.3;1300
27.56;1418
27.4;1642
28.60715993;3900
26.9;4040
26.96;5260
26.23;8260
27.16338353;9100
28.63;1006
28.98;1010
29.06;1024
28.78;1028
28.68;1094
28.76;1110
29.12;1126
28.82;1158
29.12;1164
28.58;1166
28.78;1176
28.76;1200
28.63;1216
29.03;1228
27.58;1246
28.82;1270
28.68;1296
28.72;1306
28.58;1314
29.06;1330
28.72;1330
29.03;1374
27.79;1410
29.02;1462
29.02;1516
28.55;1524
28.55;1552
27.88;2424
27.33;2466
27.70;2550
27.70;2550
27.45;2554
27.31;2560
27.29;2622
27.73;2878
28.05;2902
27.73;2972
27.17;3040
28.05;3086
27.63;3114
27.12;3140
27.63;3140
27.12;3180
28.23;3220
28.23;3220
27.22;3220
28.20;3260
28.20;3440
27.58;3440
27.32;3680
27.31;3700
27.88;3900
27.45;3960
27.44;3980
27.53;4000
27.44;4160
27.53;4180
27.47;4180
26.77;4200
27.47;4260
26.96;4280
27.52;4300
26.96;4320
26.77;4360
27.52;4420
27.32;4440
27.29;4800
27.31;5180
27.79;5240
27.31;5260
27.17;5300
27.33;6220
25.06;6440
27.22;6460
25.18;7740
24.67;8920
24.99;8940
25.29;10180
24.88;11840
25.29;13020
25.18;16100
24.88;17280
24.99;19360
25.06;20580
24.67;22400
36.21;8.4
35.39;18
35.73;22
34;30
34.69;32
34.42;40
34.06;40
33.49;52
33.59;66
33.1;84
33.16;88
31.96;238
29.74;716
29.74;732
29.67;810
29.67;856
29.44;890
29.44;974
29.37;946
29.72;630
29.34;730
29.43;772
29.72;784
29.43;838
29.34;868
29.02;884
29.02;906
28.98;984
