0;0;0;0
0.004;-0.007;0.015;0
0.001;-0.003;0.011;0
14.095;-3.948;0.012;0
14.098;-3.952;0.012;0
14.097;-3.953;0.016;0
24.329;-14.426;0.028;0
24.334;-14.445;0.036;0
24.332;-14.44;0.036;0
27.947;-28.603;0.046;0
27.946;-28.621;0.044;0
27.946;-28.628;0.043;0
23.994;-42.692;0.059;0
23.994;-42.705;0.048;0
23.981;-42.718;0.047;0
13.549;-52.907;0.059;0
13.543;-52.922;0.041;0
13.542;-52.917;0.047;0
-0.635;-56.542;0.06;0
-0.635;-56.549;0.041;0
-0.64;-56.548;0.046;0
-14.706;-52.608;0.052;0
-14.706;-52.611;0.042;0
-14.705;-52.609;0.048;0
-24.942;-42.153;0.043;0
-24.943;-42.159;0.039;0
-24.946;-42.158;0.037;0
-28.588;-27.967;0.021;0
-28.588;-27.968;0.025;0
-28.589;-27.968;0.026;0
-24.65;-13.868;0.005;0
-24.649;-13.87;0.012;0
-24.65;-13.869;0.01;0
-14.169;-3.623;0.005;0
-14.167;-3.626;0.012;0
-14.168;-3.626;0.01;0
